Instructor,Course,Term,Enrolled/Response Rate,Avg Grade Recieved,Avg Hours Worked,Student Learning,Course Structure,Class Environment
"Gilmore, Lauren Monica",AWP 3 - Analytical Writing (010),FA23,14 (100.00%),3.35 (B+),6.79,4.53,4.63,4.76
"Eastin, Schuyler E.",AWP 3 - Analytical Writing (011),FA23,14 (100.00%),2.86 (B-),6.07,4.43,4.41,4.7
"Eastin, Schuyler E.",AWP 3 - Analytical Writing (012),FA23,14 (92.86%),2.74 (B-),6.54,4.29,4.5,4.71
"Gilbert, Peter W",AWP 3 - Analytical Writing (015),FA23,14 (85.71%),2.81 (B-),7.08,4.4,4.56,4.83
"Heiser, Jerrod A",AWP 3 - Analytical Writing (019),FA23,14 (85.71%),3.68 (B+),7.5,4.6,4.52,4.71
"Zimmerman, Guy",AWP 3 - Analytical Writing (020),FA23,15 (86.67%),3.00 (B),7.31,3.95,3.86,4.09
"Heiser, Jerrod A",AWP 3 - Analytical Writing (022),FA23,14 (71.43%),3.20 (B),7.5,4.6,4.71,4.75
"Heiser, Jerrod A",AWP 3 - Analytical Writing (023),FA23,14 (78.57%),3.48 (B+),6.82,4.68,4.66,4.82
"Sartor, Alexandra",AWP 3 - Analytical Writing (025),FA23,14 (92.86%),3.44 (B+),7.31,4.69,4.69,4.75
"Sartor, Alexandra",AWP 3 - Analytical Writing (026),FA23,15 (93.33%),3.46 (B+),6.43,4.39,4.58,4.77
"Christie, Veronica Ann",AWP 3 - Analytical Writing (027),FA23,15 (86.67%),2.67 (C+),6.54,4.44,4.63,4.73
"Christie, Veronica Ann",AWP 3 - Analytical Writing (029),FA23,13 (100.00%),3.38 (B+),6.15,4.31,4.44,4.77
"Christie, Veronica Ann",AWP 3 - Analytical Writing (030),FA23,14 (100.00%),3.49 (B+),6.43,4.7,4.79,4.88
"Wilson, Natalie Ann",AWP 3 - Analytical Writing (031),FA23,15 (100.00%),3.09 (B),7.0,4.22,4.36,4.64
"Wilson, Natalie Ann",AWP 3 - Analytical Writing (032),FA23,14 (100.00%),2.89 (B-),8.21,4.27,4.39,4.59
"Wilson, Natalie Ann",AWP 3 - Analytical Writing (034),FA23,14 (92.86%),3.36 (B+),8.08,4.77,4.77,4.96
"Steinberg, Stacy A",AWP 3 - Analytical Writing (035),FA23,14 (100.00%),3.12 (B),7.14,4.55,4.64,4.76
"Steinberg, Stacy A",AWP 3 - Analytical Writing (036),FA23,14 (85.71%),3.15 (B),5.42,4.71,4.77,4.87
"Falcon, Jennifer A",AWP 3 - Analytical Writing (037),FA23,14 (92.86%),2.82 (B-),6.92,4.63,4.62,4.75
"Falcon, Jennifer A",AWP 3 - Analytical Writing (038),FA23,13 (100.00%),3.03 (B),8.08,4.35,4.44,4.71
"Falcon, Jennifer A",AWP 3 - Analytical Writing (040),FA23,14 (100.00%),3.16 (B),6.79,4.7,4.66,4.84
"O'Neil, Courtney L",AWP 3 - Analytical Writing (043),FA23,15 (80.00%),2.96 (B-),6.67,4.64,4.65,4.64
"O'Neil, Courtney L",AWP 3 - Analytical Writing (044),FA23,14 (92.86%),3.72 (A-),8.08,4.6,4.75,4.88
"Spicer, Jacqueline",AWP 3 - Analytical Writing (045),FA23,14 (100.00%),2.66 (C+),5.36,4.25,4.35,4.6
"O'Neil, Courtney L",AWP 3 - Analytical Writing (046),FA23,13 (76.92%),3.08 (B),8.0,4.36,4.53,4.55
"Spicer, Jacqueline",AWP 3 - Analytical Writing (047),FA23,15 (80.00%),2.49 (C+),6.25,4.08,4.47,4.6
"Spicer, Jacqueline",AWP 3 - Analytical Writing (048),FA23,13 (76.92%),2.16 (C),7.0,3.98,4.4,4.63
"Tsurska Svetina, Olena",AWP 3 - Analytical Writing (049),FA23,14 (92.86%),3.34 (B+),8.08,4.27,4.29,4.5
"Tsurska Svetina, Olena",AWP 3 - Analytical Writing (050),FA23,13 (84.62%),3.20 (B),6.36,4.51,4.45,4.73
"Chandler, Bailee Daniele",AWP 3 - Analytical Writing (051),FA23,15 (93.33%),3.43 (B+),7.86,4.44,4.54,4.57
"Tsurska Svetina, Olena",AWP 3 - Analytical Writing (052),FA23,13 (92.31%),3.48 (B+),7.92,4.67,4.66,4.83
"Chandler, Bailee Daniele",AWP 3 - Analytical Writing (053),FA23,14 (100.00%),3.41 (B+),7.86,4.32,4.37,4.55
"Chandler, Bailee Daniele",AWP 3 - Analytical Writing (054),FA23,12 (91.67%),3.48 (B+),7.27,4.5,4.59,4.89
"Ajo, Frances Margaret",AWP 3 - Analytical Writing (055),FA23,15 (93.33%),2.68 (C+),7.5,4.5,4.48,4.64
"Ajo, Frances Margaret",AWP 3 - Analytical Writing (056),FA23,14 (100.00%),3.11 (B),6.43,4.68,4.61,4.73
"Zroka, Amy Liane",AWP 3 - Analytical Writing (057),FA23,15 (73.33%),3.25 (B),7.73,4.25,4.2,4.73
"Ajo, Frances Margaret",AWP 3 - Analytical Writing (058),FA23,14 (100.00%),3.13 (B),5.71,4.48,4.69,4.75
"Zroka, Amy Liane",AWP 3 - Analytical Writing (059),FA23,14 (64.29%),2.81 (B-),6.67,4.61,4.61,4.89
"Zroka, Amy Liane",AWP 3 - Analytical Writing (060),FA23,13 (69.23%),2.93 (B-),8.33,4.64,4.42,4.78
"Grant, Melinda G",AWP 3 - Analytical Writing (061),FA23,14 (92.86%),2.89 (B-),7.31,4.63,4.63,4.75
"Grant, Melinda G",AWP 3 - Analytical Writing (062),FA23,14 (92.86%),3.11 (B),7.31,4.56,4.63,4.85
"Kolodezh, Samuel",AWP 3 - Analytical Writing (063),FA23,15 (86.67%),2.81 (B-),8.08,4.42,4.54,4.75
"Grant, Melinda G",AWP 3 - Analytical Writing (064),FA23,13 (92.31%),3.24 (B),8.75,4.6,4.81,4.98
"Kolodezh, Samuel",AWP 3 - Analytical Writing (065),FA23,14 (92.86%),2.89 (B-),7.31,4.31,4.31,4.6
"Kolodezh, Samuel",AWP 3 - Analytical Writing (066),FA23,14 (71.43%),3.24 (B),8.0,4.58,4.53,4.9
"Setoda, Kayleigh Kumiko",AWP 3 - Analytical Writing (067),FA23,14 (92.86%),3.31 (B+),6.92,4.69,4.77,4.87
"Setoda, Kayleigh Kumiko",AWP 3 - Analytical Writing (068),FA23,14 (92.86%),3.22 (B),6.54,4.65,4.71,4.98
"Vaughn, Kelsey Sara",AWP 3 - Analytical Writing (069),FA23,14 (92.86%),3.21 (B),6.92,4.46,4.54,4.62
"Setoda, Kayleigh Kumiko",AWP 3 - Analytical Writing (070),FA23,15 (100.00%),2.99 (B-),7.0,4.6,4.67,4.9
"Tiernan, Christa Michelle",AWP 3 - Analytical Writing (072),FA23,14 (78.57%),2.58 (C+),7.27,4.27,4.31,4.45
"Jones, William Jadie",AWP 3 - Analytical Writing (073),FA23,13 (100.00%),3.42 (B+),7.31,4.63,4.54,4.84
"Jones, William Jadie",AWP 3 - Analytical Writing (074),FA23,14 (85.71%),2.63 (C+),7.92,4.4,4.51,4.81
"Hall, Graham T",AWP 3 - Analytical Writing (075),FA23,13 (61.54%),3.63 (B+),7.5,4.41,4.53,4.69
"Jones, William Jadie",AWP 3 - Analytical Writing (076),FA23,13 (100.00%),3.44 (B+),8.85,4.55,4.6,4.69
"Vaughn, Kelsey Sara",AWP 3 - Analytical Writing (077),FA23,14 (92.86%),3.48 (B+),6.54,4.38,4.47,4.52
"Vaughn, Kelsey Sara",AWP 3 - Analytical Writing (078),FA23,14 (78.57%),3.22 (B),6.82,3.98,4.24,4.53
"West, Geoffrey Scott",AWP 3 - Analytical Writing (079),FA23,14 (64.29%),2.44 (C+),7.22,4.44,4.5,4.69
"Tiernan, Christa Michelle",AWP 3 - Analytical Writing (081),FA23,14 (64.29%),2.81 (B-),7.22,4.47,4.44,4.58
"Tiernan, Christa Michelle",AWP 3 - Analytical Writing (082),FA23,14 (92.86%),2.84 (B-),6.15,4.71,4.71,4.75
"Hall, Graham T",AWP 3 - Analytical Writing (083),FA23,12 (91.67%),3.17 (B),8.18,4.57,4.66,4.68
"Hall, Graham T",AWP 3 - Analytical Writing (084),FA23,14 (92.86%),2.70 (B-),7.31,4.4,4.45,4.63
"Zimmerman, Guy",AWP 3 - Analytical Writing (085),FA23,13 (69.23%),2.43 (C+),7.78,4.22,4.17,4.42
"Grant, Melinda G",AWP 4A - Analytical Writing A (001),SP24,11 (45.45%),(N/A),6.2,4.55,4.65,4.7
"Grant, Melinda G",AWP 4A - Analytical Writing A (002),SP24,10 (90.00%),(N/A),6.78,4.64,4.75,4.86
"Wilson, Natalie Ann",AWP 4A - Analytical Writing A (003),SP24,10 (50.00%),(N/A),5.0,4.5,4.65,4.85
"Falcon, Jennifer A",AWP 4A - Analytical Writing A (001),WI24,14 (85.71%),(N/A),4.67,4.42,4.48,4.63
"Falcon, Jennifer A",AWP 4A - Analytical Writing A (002),WI24,14 (100.00%),(N/A),4.86,4.64,4.59,4.68
"Setoda, Kayleigh Kumiko",AWP 4A - Analytical Writing A (003),WI24,14 (78.57%),(N/A),5.18,4.84,4.75,4.86
"Setoda, Kayleigh Kumiko",AWP 4A - Analytical Writing A (004),WI24,13 (92.31%),(N/A),4.83,4.5,4.53,4.6
"Coulter, Jane Elisabeth",AWP 4A - Analytical Writing A (005),WI24,14 (92.86%),(N/A),5.46,4.75,4.67,4.76
"O'Neil, Courtney L",AWP 4A - Analytical Writing A (007),WI24,14 (71.43%),(N/A),4.8,4.9,4.9,4.9
"O'Neil, Courtney L",AWP 4A - Analytical Writing A (008),WI24,14 (85.71%),(N/A),5.5,4.68,4.65,4.81
"Zroka, Amy Liane",AWP 4A - Analytical Writing A (009),WI24,13 (53.85%),(N/A),4.14,4.75,4.82,4.79
"Zroka, Amy Liane",AWP 4A - Analytical Writing A (010),WI24,13 (61.54%),(N/A),6.0,4.94,4.78,4.94
"Spicer, Jacqueline",AWP 4A - Analytical Writing A (011),WI24,13 (69.23%),(N/A),4.78,4.56,4.58,4.67
"Spicer, Jacqueline",AWP 4A - Analytical Writing A (012),WI24,13 (69.23%),(N/A),4.78,4.72,4.72,4.69
"Steinberg, Stacy A",AWP 4A - Analytical Writing A (013),WI24,13 (69.23%),(N/A),5.0,4.64,4.75,4.64
"Steinberg, Stacy A",AWP 4A - Analytical Writing A (014),WI24,13 (76.92%),(N/A),3.8,4.35,4.48,4.53
"Chandler, Bailee Daniele",AWP 4A - Analytical Writing A (015),WI24,14 (71.43%),(N/A),6.6,4.7,4.73,4.73
"Chandler, Bailee Daniele",AWP 4A - Analytical Writing A (016),WI24,12 (66.67%),(N/A),7.5,4.72,4.78,4.78
"Tiernan, Christa Michelle",AWP 4A - Analytical Writing A (017),WI24,13 (69.23%),(N/A),5.0,4.31,4.36,4.64
"Tiernan, Christa Michelle",AWP 4A - Analytical Writing A (018),WI24,12 (91.67%),(N/A),5.73,4.66,4.77,4.93
"Bolin, Jillian",AWP 4A - Analytical Writing A (019),WI24,14 (78.57%),(N/A),5.73,4.73,4.73,4.8
"Bolin, Jillian",AWP 4A - Analytical Writing A (020),WI24,13 (69.23%),(N/A),5.44,4.57,4.78,4.94
"Bauer, Holly Jean",AWP 4A - Analytical Writing A (021),WI24,13 (76.92%),(N/A),4.6,4.21,4.23,4.23
"Vaughn, Kelsey Sara",AWP 4A - Analytical Writing A (022),WI24,13 (61.54%),(N/A),4.0,4.66,4.66,4.69
"Vaughn, Kelsey Sara",AWP 4A - Analytical Writing A (023),WI24,13 (76.92%),(N/A),5.4,3.9,4.08,4.18
"Ajo, Frances Margaret",AWP 4A - Analytical Writing A (025),WI24,10 (60.00%),(N/A),4.0,4.5,4.46,4.29
"Ajo, Frances Margaret",AWP 4A - Analytical Writing A (026),WI24,12 (66.67%),(N/A),6.75,4.44,4.38,4.41
"Gilmore, Lauren Monica",AWP 4A - Analytical Writing A (027),WI24,14 (71.43%),(N/A),4.8,4.83,4.7,4.83
"Gilmore, Lauren Monica",AWP 4A - Analytical Writing A (028),WI24,12 (83.33%),(N/A),5.6,4.83,4.83,4.93
"Heiser, Jerrod A",AWP 4A - Analytical Writing A (029),WI24,13 (61.54%),(N/A),4.75,4.66,4.59,4.59
"Heiser, Jerrod A",AWP 4A - Analytical Writing A (030),WI24,13 (46.15%),(N/A),4.67,4.83,4.88,5.0
"Jones, William Jadie",AWP 4A - Analytical Writing A (031),WI24,13 (92.31%),(N/A),4.5,4.4,4.35,4.63
"Jones, William Jadie",AWP 4A - Analytical Writing A (032),WI24,14 (57.14%),(N/A),5.5,4.31,4.09,4.5
"Christie, Veronica Ann",AWP 4A - Analytical Writing A (033),WI24,13 (92.31%),(N/A),4.67,4.94,4.88,4.96
"Christie, Veronica Ann",AWP 4A - Analytical Writing A (034),WI24,13 (69.23%),(N/A),6.33,4.42,4.53,4.69
"Gardella, Alexander Drew",AWP 4A - Analytical Writing A (037),WI24,13 (61.54%),(N/A),4.5,4.41,4.42,4.47
"Gardella, Alexander Drew",AWP 4A - Analytical Writing A (038),WI24,13 (46.15%),(N/A),9.0,3.17,2.88,3.67
"Zimmerman, Guy",AWP 4A - Analytical Writing A (039),WI24,13 (92.31%),(N/A),5.83,4.65,4.56,4.69
"Zimmerman, Guy",AWP 4A - Analytical Writing A (040),WI24,14 (78.57%),(N/A),6.27,4.34,4.44,4.7
"Tsurska Svetina, Olena",AWP 4A - Analytical Writing A (043),WI24,13 (69.23%),(N/A),5.67,4.44,4.42,4.49
"Tsurska Svetina, Olena",AWP 4A - Analytical Writing A (044),WI24,13 (46.15%),(N/A),5.67,4.38,4.67,4.71
"Bolin, Jillian",AWP 4B - Analytical Writing B (001),SP24,10 (80.00%),2.44 (C+),6.75,4.72,4.69,4.77
"Bolin, Jillian",AWP 4B - Analytical Writing B (002),SP24,10 (60.00%),3.03 (B),5.67,4.75,4.74,4.83
"Bauer, Holly Jean",AWP 4B - Analytical Writing B (003),SP24,13 (84.62%),3.26 (B),4.82,4.73,4.59,4.75
"Vaughn, Kelsey Sara",AWP 4B - Analytical Writing B (004),SP24,14 (85.71%),3.12 (B),5.83,4.67,4.66,4.67
"Vaughn, Kelsey Sara",AWP 4B - Analytical Writing B (005),SP24,11 (72.73%),3.13 (B),7.0,4.03,4.22,4.52
"Ajo, Frances Margaret",AWP 4B - Analytical Writing B (007),SP24,10 (100.00%),2.94 (B-),6.0,4.8,4.85,4.7
"Ajo, Frances Margaret",AWP 4B - Analytical Writing B (008),SP24,10 (80.00%),3.17 (B),4.5,4.72,4.72,4.75
"Hall, Graham T",AWP 4B - Analytical Writing B (009),SP24,14 (92.86%),3.27 (B),6.23,4.54,4.63,4.75
"Hall, Graham T",AWP 4B - Analytical Writing B (010),SP24,11 (90.91%),3.49 (B+),6.8,4.85,4.83,4.83
"Heiser, Jerrod A",AWP 4B - Analytical Writing B (011),SP24,14 (71.43%),3.27 (B),5.6,4.75,4.78,4.8
"Heiser, Jerrod A",AWP 4B - Analytical Writing B (012),SP24,13 (92.31%),2.88 (B-),5.83,4.52,4.64,4.85
"Jones, William Jadie",AWP 4B - Analytical Writing B (013),SP24,11 (81.82%),2.79 (B-),5.44,4.64,4.75,4.94
"Jones, William Jadie",AWP 4B - Analytical Writing B (014),SP24,14 (71.43%),2.91 (B-),5.0,4.65,4.5,4.78
"Christie, Veronica Ann",AWP 4B - Analytical Writing B (015),SP24,12 (91.67%),3.53 (B+),5.73,4.82,4.86,4.84
"Christie, Veronica Ann",AWP 4B - Analytical Writing B (016),SP24,13 (92.31%),3.39 (B+),5.67,4.71,4.69,4.77
"Falcon, Jennifer A",AWP 4B - Analytical Writing B (019),SP24,13 (84.62%),3.16 (B),4.82,4.36,4.32,4.57
"Falcon, Jennifer A",AWP 4B - Analytical Writing B (020),SP24,13 (84.62%),2.97 (B-),6.45,4.77,4.66,4.7
"Eastin, Schuyler E.",AWP 4B - Analytical Writing B (021),SP24,12 (75.00%),2.58 (C+),5.22,4.06,4.26,4.36
"Coulter, Jane Elisabeth",AWP 4B - Analytical Writing B (023),SP24,14 (100.00%),3.21 (B),6.86,4.57,4.77,4.89
"O'Neil, Courtney L",AWP 4B - Analytical Writing B (025),SP24,14 (57.14%),3.51 (B+),5.0,5.0,4.97,4.97
"O'Neil, Courtney L",AWP 4B - Analytical Writing B (026),SP24,14 (78.57%),3.68 (B+),6.45,4.7,4.73,4.75
"Tsurska Svetina, Olena",AWP 4B - Analytical Writing B (027),SP24,13 (61.54%),3.10 (B),6.5,4.44,4.28,4.56
"Tsurska Svetina, Olena",AWP 4B - Analytical Writing B (028),SP24,12 (50.00%),3.13 (B),4.0,4.38,4.71,4.83
"Spicer, Jacqueline",AWP 4B - Analytical Writing B (029),SP24,12 (91.67%),3.12 (B),5.73,4.77,4.7,4.84
"Spicer, Jacqueline",AWP 4B - Analytical Writing B (030),SP24,12 (58.33%),2.63 (C+),5.33,4.68,4.64,4.82
"Steinberg, Stacy A",AWP 4B - Analytical Writing B (031),SP24,13 (84.62%),3.21 (B),5.18,4.89,4.95,4.91
"Steinberg, Stacy A",AWP 4B - Analytical Writing B (032),SP24,14 (85.71%),3.24 (B),5.17,4.35,4.38,4.38
"Chandler, Bailee Daniele",AWP 4B - Analytical Writing B (033),SP24,14 (64.29%),3.60 (B+),6.78,4.66,4.67,4.69
"Chandler, Bailee Daniele",AWP 4B - Analytical Writing B (034),SP24,14 (85.71%),3.00 (B),7.73,4.9,4.89,4.92
"Tiernan, Christa Michelle",AWP 4B - Analytical Writing B (035),SP24,10 (90.00%),2.83 (B-),5.44,4.33,4.11,4.39
"Tiernan, Christa Michelle",AWP 4B - Analytical Writing B (036),SP24,15 (80.00%),3.15 (B),6.17,4.73,4.7,4.77
"Gardella, Alexander Drew",AWP 4B - Analytical Writing B (037),SP24,13 (76.92%),2.79 (B-),6.0,4.08,4.25,4.4
"Gardella, Alexander Drew",AWP 4B - Analytical Writing B (038),SP24,13 (61.54%),2.77 (B-),5.57,4.21,4.24,4.43
"Zimmerman, Guy",AWP 4B - Analytical Writing B (039),SP24,12 (83.33%),3.12 (B),7.9,4.5,4.49,4.7
"Zimmerman, Guy",AWP 4B - Analytical Writing B (040),SP24,12 (83.33%),3.53 (B+),4.8,4.83,4.85,4.87
"Zroka, Amy Liane",AWP 4B - Analytical Writing B (041),SP24,13 (38.46%),3.21 (B),4.6,4.7,4.75,4.95
"Zroka, Amy Liane",AWP 4B - Analytical Writing B (042),SP24,13 (76.92%),2.57 (C+),5.8,4.8,4.85,4.93
"Bauer, Holly Jean",AWP 4B - Analytical Writing B (A00),FA23,9 (100.00%),3.01 (B),7.78,4.91,4.83,4.83
"Bolin, Jillian",AWP 4B - Analytical Writing B (003),SP23,9 (88.89%),2.78 (B-),6.25,4.75,4.61,4.81
"Bolin, Jillian",AWP 4B - Analytical Writing B (004),SP23,11 (90.91%),2.89 (B-),5.5,4.28,4.44,4.6
"Bauer, Holly Jean",AWP 4B - Analytical Writing B (027),SP23,8 (87.50%),3.30 (B+),6.43,4.75,4.65,4.79
"Cortes, Mayra Alejandra",AWP 10 - Lang&Learning in American Acad (006),S223,nan,3.42 (B+),6.25,4.42,4.35,4.51
"Bourdeau, Joseph Albert",AWP 10 - Lang&Learning in American Acad (010),S223,nan,3.82 (A-),6.0,4.5,4.53,4.75
"Khoury, Celine Joana",AWP 10 - Lang&Learning in American Acad (011),S223,nan,3.75 (A-),5.91,4.52,4.8,4.93
"Gocsik, Karen Marie",AWP 10R - Lang&Learning in American Acad (A00),WI24,11 (36.36%),3.20 (B),5.5,4.56,4.63,4.5
"Shtienberg, Gilad",ANAR 100 - Spec Topics/Anth Archaeology (A00),WI24,9 (66.67%),3.87 (A-),2.0,4.52,4.46,4.25
"Fortier, Jana",ANAR 100 - Spec Topics/Anth Archaeology (A00),FA23,14 (28.57%),3.17 (B),5.0,4.73,4.88,4.88
"Tamberino, Anthony Thomas",ANAR 104 - Intro GIS for Anth & Arch (A00),SP24,24 (29.17%),4.00 (A),6.14,4.18,3.07,3.62
"Tamberino, Anthony Thomas",ANAR 104 - Intro GIS for Anth & Arch (B00),FA23,23 (21.74%),3.55 (B+),6.0,3.45,2.75,3.8
"Garzon-Oechsle, Andres Est",ANAR 111 - Foundations of Archaeology (A00),SP24,29 (24.14%),3.13 (B),4.43,4.64,4.37,4.61
"Bolger, Robert Timothy","ANAR 117 - Archaeology Field&Lab, SoCal (A00)",WI24,19 (26.32%),3.89 (A-),2.6,4.95,5.0,5.0
"Rabinowitz, Dan",ANAR 120 - Documenting Climate Change (A00),SP24,12 (66.67%),3.60 (B+),3.0,4.59,4.59,4.53
"Garvin, Arianna Christina",ANAR 120 - Documenting Climate Change (A00),FA23,26 (61.54%),3.63 (B+),6.88,4.48,4.29,4.73
"Tamberino, Anthony Thomas",ANAR 121 - Cyber-Archaeology (A00),WI24,21 (19.05%),3.72 (A-),4.5,4.06,3.31,3.71
"Braswell, Geoffrey E.",ANAR 135 - Ancient Mediterranean Civ (A00),WI24,15 (26.67%),4.00 (A),1.67,4.71,4.22,4.0
"Braswell, Geoffrey E.","ANAR 144 - Pharaohs,Mummies,Pyramds:Egypt (A00)",S123,69 (15.94%),2.73 (B-),7.73,4.61,4.26,4.49
"D'Alpoim Guedes, Jade A",ANAR 146R - Feeding the World (A00),SP23,178 (27.53%),3.68 (B+),6.33,4.58,4.48,4.43
"Braswell, Geoffrey E.",ANAR 155 - Stdy Abrd: Ancient Mesoamerica (A00),SP24,24 (29.17%),4.00 (A),6.5,4.5,3.76,4.04
"Goldstein, Paul S",ANAR 156 - Archaeology of South America (A00),WI24,30 (26.67%),3.69 (B+),3.0,3.97,3.31,4.09
"Rodriguez, Eric Andrew",ANAR 164 - Underwater Archaeology (A00),SP24,47 (63.83%),3.74 (A-),3.6,4.44,4.48,4.72
"Cantu, Katrina Marie",ANAR 166 - Environmental Archaeology (A00),FA23,20 (50.00%),3.19 (B),5.5,4.35,4.25,4.43
"Fox, Patrick Keolu Ozer",ANBI 100 - Special Topic/Biological Anth (A00),SP24,42 (64.29%),3.87 (A-),4.44,4.77,4.59,4.67
"Marchetto, Maria Carolina",ANBI 100 - Special Topic/Biological Anth (A00),WI24,38 (36.84%),3.93 (A-),3.14,4.54,4.55,4.64
"Hrvoj Mihic, Branka",ANBI 111 - Human Evolution (A00),SP24,15 (20.00%),2.69 (C+),3.0,4.33,3.75,4.33
"Marchetto, Maria Carolina",ANBI 112 - Methods in Human Neuroscience (B00),WI24,15 (40.00%),3.87 (A-),5.0,4.88,4.71,4.74
"Gagneux, Pascal",ANBI 116 - Hmn Sexuality in Evolutn Pers (A00),WI24,150 (36.00%),3.51 (B+),3.67,4.75,4.7,4.73
"Fox, Patrick Keolu Ozer",ANBI 118 - Technology on the Go (A00),FA23,26 (76.92%),3.92 (A-),5.25,4.62,4.64,4.71
"Non, Amy L",ANBI 120 - Ethical Dilemmas in Bio Anthro (A00),WI24,21 (38.10%),3.73 (A-),3.0,4.81,4.66,4.65
"Non, Amy L",ANBI 131 - Biology and Culture of Race (A00),FA23,95 (55.79%),3.42 (B+),5.38,4.4,4.28,4.63
"Semendeferi, Ekaterini",ANBI 136 - Human Comparative Neuroanatomy (A00),FA23,19 (47.37%),2.89 (B-),7.78,4.49,4.19,4.44
"Gagneux, Pascal",ANBI 141 - The Evolution of Human Diet (A00),FA23,218 (29.82%),3.17 (B),5.08,4.72,4.71,4.78
"Wilder, Linnea Lorene",ANBI 143 - The Human Skeleton (A00),WI24,38 (34.21%),3.43 (B+),4.08,4.69,4.78,4.76
"Noel, Geoffroy Pierre Jean",ANBI 143GS - The Human Skeleton in Paris (A00),S123,26 (61.54%),3.52 (B+),8.13,4.74,4.56,4.75
"Wilder, Linnea Lorene",ANBI 144 - Human Anatomy (A00),SP24,69 (33.33%),2.80 (B-),4.73,4.36,4.29,4.64
"Noel, Geoffroy Pierre Jean",ANBI 144GS - The Human Anatomy in Paris (A00),S123,26 (57.69%),3.52 (B+),8.0,4.85,4.72,4.77
"Hrvoj Mihic, Branka",ANBI 145 - Bioarchaeology (A00),FA23,23 (26.09%),2.71 (B-),5.0,4.67,4.38,4.79
